regionID,constellationID,constellationName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,20000001,San Matar,-94046559700991296.0000000000,49520153153798800.0000000000,-42738731818402000.0000000000,-103300968263126000.0000000000,-84792151138856192.0000000000,41707503568269904.0000000000,57332802739327696.0000000000,28403529106921700.0000000000,57073934529882304.0000000000,500007,1.43352e+16
10000001,20000002,Anares,-79181270817314208.0000000000,59721766023555104.0000000000,-85767563621370096.0000000000,-88787078299773200.0000000000,-69575463334855200.0000000000,47720998612000000.0000000000,71722533435110304.0000000000,75226052138828800.0000000000,96309075103911504.0000000000,500007,1.20008e+16
10000001,20000003,Mamouna,-66544834327682096.0000000000,39477217750414000.0000000000,-102442842021202000.0000000000,-74379810853747808.0000000000,-58709857801616304.0000000000,26044509386392200.0000000000,52909926114435800.0000000000,96720410106924400.0000000000,108165273935480000.0000000000,500007,1.34327e+16
10000001,20000004,Kalangin,-70742811798454600.0000000000,45321203236056600.0000000000,-43750504506967296.0000000000,-81553344112251200.0000000000,-59932279484658000.0000000000,39508226756646304.0000000000,51134179715466896.0000000000,36346375132950896.0000000000,51154633880983600.0000000000,500007,1.08105e+16
10000001,20000005,Hevaka,-77059565114676192.0000000000,27128553877044000.0000000000,-26423360511028700.0000000000,-87895710227609504.0000000000,-66223420001743000.0000000000,15194641371952600.0000000000,39062466382135400.0000000000,22409023277357100.0000000000,30437697744700300.0000000000,500007,1.19339e+16
10000001,20000006,Sazdih,-60336253980716896.0000000000,41320717260796600.0000000000,-73045951609031200.0000000000,-62779423667720400.0000000000,-57893084293713400.0000000000,30602000215019500.0000000000,52039434306573600.0000000000,64245757325714800.0000000000,81846145892347600.0000000000,500007,1.07187e+16
10000001,20000007,Ananah,-81387267384142208.0000000000,35795629390012100.0000000000,-93153036077994096.0000000000,-89393067632056192.0000000000,-73381467136228096.0000000000,24422502349262500.0000000000,47168756430761600.0000000000,78999332766387200.0000000000,107306739389600992.0000000000,500007,1.41537e+16
10000001,20000008,Mossas,-80743795009778304.0000000000,38283162656076704.0000000000,-64811841380152896.0000000000,-85039605426929600.0000000000,-76447984592627104.0000000000,33253850385570600.0000000000,43312474926582800.0000000000,57665504477869504.0000000000,71958178282436304.0000000000,500007,7.14634e+15
10000001,20000009,Mekashtad,-70591121348561000.0000000000,67796138757472304.0000000000,-59587016159270096.0000000000,-85714432605002096.0000000000,-55467810092119800.0000000000,56960319635112800.0000000000,78631957879831904.0000000000,53501874200793504.0000000000,65672158117746600.0000000000,500007,1.51233e+16
10000001,20000010,Bedaleya,-105549987563848000.0000000000,71337084858167800.0000000000,-92442300219604896.0000000000,-115776531141552000.0000000000,-95323443986144400.0000000000,60897202373633296.0000000000,81776967342702304.0000000000,81696206367769200.0000000000,103188394071440000.0000000000,500007,1.07461e+16
10000001,20000011,Orshed,-104177990519564992.0000000000,64228977553587600.0000000000,-57850582055308400.0000000000,-112289887271664000.0000000000,-96066093767465792.0000000000,60153248576634800.0000000000,68304706530540304.0000000000,55559557102143296.0000000000,60141607008473504.0000000000,500007,8.1119e+15
10000001,20000012,Oraron,-100508080691443008.0000000000,52985129937712200.0000000000,-67838940948732200.0000000000,-106306688887847008.0000000000,-94709472495039200.0000000000,43353413865686400.0000000000,62616846009737904.0000000000,61405745587947696.0000000000,74272136309516704.0000000000,500007,9.63172e+15
