stargateID,destinationID
50000001,50000482
50000002,50001276
50000003,50001869
50000004,50001270
50000005,50002266
50000006,50000146
50000007,50000150
50000008,50000232
50000009,50000293
50000010,50000328
50000011,50000696
50000012,50001008
50000013,50000921
50000014,50001020
50000015,50002138
50000016,50001173
50000017,50003764
50000018,50003929
50000019,50003977
50000020,50004525
50000021,50005117
50000022,50000716
50000023,50001072
50000024,50003464
50000025,50000110
50000026,50001680
50000027,50001951
50000028,50002017
50000029,50002237
50000030,50000206
50000031,50002233
50000032,50000410
50000033,50001572
50000034,50000086
50000035,50001548
50000036,50000434
50000037,50001040
50000038,50001160
50000039,50000186
50000040,50000785
50000041,50002234
50000042,50002345
50000043,50001431
50000044,50001452
50000045,50001551
50000046,50006357
50000047,50000314
50000048,50001477
50000049,50003278
50000050,50000329
50000051,50000337
50000052,50000445
50000053,50000582
50000054,50001637
50000055,50002227
50000056,50000342
50000057,50001739
50000058,50002084
50000059,50001095
50000060,50001711
50000061,50002119
50000062,50002036
50000063,50000439
50000064,50000966
50000065,50001188
50000066,50001339
50000067,50001740
50000068,50002029
50000069,50000446
50000070,50000722
50000072,50002239
50000074,50000730
50000075,50000944
50000076,50001229
50000077,50002115
50000078,50000450
50000079,50000783
50000080,50001232
50000081,50002293
50000082,50000102
50000083,50000317
50000084,50000710
50000085,50001646
50000086,50000034
50000087,50000331
50000088,50000411
50000089,50000615
50000090,50000763
50000091,50001009
50000092,50000168
50000093,50000224
50000094,50001018
50000095,50002333
50000096,50000754
50000097,50001712
50000098,50000642
50000099,50001108
50000100,50001243
50000101,50008440
50000102,50000082
50000103,50000711
50000107,50000251
50000108,50000441
50000109,50001135
50000110,50000025
50000111,50000550
50000112,50001442
50000113,50000764
50000114,50001010
50000115,50001198
50000116,50001981
50000117,50000225
50000118,50000995
50000119,50001233
50000120,50001713
50000121,50002172
50000122,50000440
50000123,50000658
50000124,50002031
50000125,50002279
50000126,50000555
50000127,50000784
50000128,50001520
50000129,50001622
50000130,50000212
50000131,50001856
50000132,50001995
50000133,50001746
50000134,50002116
50000135,50002604
50000136,50005058
50000137,50000455
50000138,50001344
50000139,50001967
50000140,50000291
50000141,50000864
50000142,50000958
50000143,50001150
50000144,50001959
50000145,50002101
50000146,50000006
50000147,50000161
50000150,50000007
50000151,50000172
50000152,50000294
50000153,50001735
50000154,50000552
50000155,50001000
50000156,50002107
50000157,50003019
50000161,50000147
50000162,50000379
50000163,50002043
50000164,50001271
50000165,50001922
50000166,50004390
50000167,50005023
50000168,50000092
50000169,50000281
50000170,50000584
50000171,50000633
50000172,50000151
50000173,50001277
50000174,50001818
50000175,50000789
50000176,50001185
50000177,50001224
50000178,50000967
50000179,50001528
50000180,50003264
50000181,50004576
50000182,50001105
50000183,50001685
50000184,50002487
50000185,50002094
50000186,50000039
50000187,50000700
50000188,50001382
50000189,50002056
50000190,50002281
50000191,50001613
50000192,50001952
50000193,50002719
50000194,50002195
50000195,50002254
50000196,50001692
50000197,50002474
50000198,50001984
50000199,50002539
50000200,50002855
50000201,50002938
50000202,50001798
50000203,50003315
50000204,50003642
50000205,50005097
50000206,50000030
50000207,50002059
50000208,50001186
50000209,50002122
50000210,50001062
50000211,50003076
50000212,50000130
50000213,50003966
50000214,50004259
50000215,50006674
50000223,50001904
50000224,50000093
50000225,50000117
50000226,50000282
50000227,50002334
50000228,50002411
50000229,50001204
50000230,50002087
50000231,50002859
50000232,50000008
50000233,50000981
50000234,50001348
50000235,50002796
50000240,50001163
50000241,50002451
50000242,50000928
50000243,50001399
50000244,50002640
50000245,50001372
50000246,50000369
50000247,50004250
50000248,50001783
50000249,50002072
50000250,50002471
50000251,50000107
50000252,50000388
50000253,50001220
50000254,50001293
50000255,50001369
50000256,50000616
50000257,50002040
50000258,50000840
50000259,50000908
50000260,50002123
50000261,50001207
50000262,50001356
50000263,50001597
50000264,50001953
50000265,50007043
50000269,50001055
50000270,50001281
50000271,50001661
50000272,50001859
50000273,50000875
50000274,50001454
50000275,50001809
50000276,50002078
50000277,50002890
50000278,50005545
50000279,50001317
50000280,50003122
50000281,50000169
50000282,50000226
50000283,50000432
50000284,50000955
50000285,50000708
50000286,50001241
50000287,50001063
50000288,50000353
50000289,50002243
50000290,50002369
50000291,50000140
50000292,50005726
50000293,50000009
50000294,50000152
50000295,50000709
50000296,50001736
50000297,50000423
50000298,50001608
50000299,50001724
50000300,50001978
50000301,50000524
50000302,50002183
50000303,50003437
50000304,50000502
50000305,50001237
50000306,50001244
50000307,50001461
50000308,50000717
50000309,50001308
50000310,50002660
50000311,50001705
50000312,50001917
50000313,50002282
50000314,50000047
50000315,50001478
50000316,50001829
50000317,50000083
50000318,50001647
50000319,50002337
50000320,50001098
50000321,50001158
50000322,50001682
50000323,50001061
50000324,50001674
50000325,50002051
50000326,50002244
50000327,50001304
50000328,50000010
50000329,50000050
50000330,50001320
50000331,50000087
50000332,50001192
50000333,50001549
50000334,50001969
50000337,50000051
50000338,50000569
50000339,50003080
50000340,50000645
50000341,50000775
50000342,50000056
50000343,50000865
50000344,50000903
50000345,50002085
50000346,50001358
50000347,50001753
50000348,50002469
50000349,50002933
50000350,50001839
50000351,50004149
50000352,50004533
50000353,50000288
50000354,50000451
50000355,50000931
50000356,50002902
50000360,50002020
50000361,50002273
50000362,50003505
50000363,50000453
50000364,50000801
50000365,50001368
50000366,50003046
50000367,50003326
50000368,50003458
50000369,50000246
50000370,50000683
50000371,50001333
50000372,50004251
50000373,50000982
50000375,50001784
50000376,50002627
50000377,50000612
50000378,50000915
50000379,50000162
50000380,50001845
50000381,50000651
50000382,50002958
50000383,50000508
50000384,50002643
50000388,50000252
50000389,50000400
50000391,50001962
50000392,50002005
50000393,50002535
50000394,50001221
50000395,50002402
