stationID,security,dockingCostPerVolume,maxShipVolumeDockable,officeRentalCost,operationID,stationTypeID,corporationID,solarSystemID,constellationID,regionID,stationName,x,y,z,reprocessingEfficiency,reprocessingStationsTake,reprocessingHangarFlag
60000004,0.7080867245,0E-10,50000000.0000000000,10000,26,1531,1000002,30002780,20000407,10000033,Muvolailen X - Moon 3 - CBD Corporation Storage,1723680890880.0000000000,256414064640.0000000000,-60755435520.0000000000,0.5000000000,0.0500000000,4
60000007,0.7944237869,0E-10,50000000.0000000000,10000,26,1531,1000002,30002779,20000407,10000033,Ono V - Moon 9 - CBD Corporation Storage,-640881254400.0000000000,-65580441600.0000000000,-506471424000.0000000000,0.5000000000,0.0500000000,4
60000010,0.8074703590,0E-10,50000000.0000000000,10000,26,1531,1000002,30002776,20000407,10000033,Annaro I - CBD Corporation Storage,2234081280.0000000000,327966720.0000000000,35834142720.0000000000,0.5000000000,0.0500000000,4
60000013,0.7944237869,0E-10,50000000.0000000000,10000,26,1531,1000002,30002779,20000407,10000033,Ono V - Moon 2 - CBD Corporation Storage,-640134881280.0000000000,-65504993280.0000000000,-507244339200.0000000000,0.5000000000,0.0500000000,4
60000016,0.8308547958,0E-10,50000000.0000000000,10000,26,1531,1000002,30002778,20000407,10000033,Tasabeshi VIII - Moon 13 - CBD Corporation Storage,-5865870581760.0000000000,-654233640960.0000000000,2584889794560.0000000000,0.5000000000,0.0500000000,4
60000019,0.8308547958,0E-10,50000000.0000000000,10000,26,1531,1000002,30002778,20000407,10000033,Tasabeshi VI - Moon 1 - CBD Corporation Storage,-701220986880.0000000000,-78208819200.0000000000,1824795402240.0000000000,0.5000000000,0.0500000000,4
60000022,0.4567548925,0E-10,50000000.0000000000,10000,26,1531,1000002,30002650,20000388,10000032,Ney X - Moon 15 - CBD Corporation Storage,1237879480320.0000000000,10972569600.0000000000,7508090880.0000000000,0.5000000000,0.0500000000,4
60000025,0.5517798187,0E-10,50000000.0000000000,10000,26,1531,1000002,30002648,20000388,10000032,Ardene VIII - Moon 5 - CBD Corporation Storage,2035178741760.0000000000,-405832949760.0000000000,735734538240.0000000000,0.5000000000,0.0500000000,4
60000028,0.4480995304,0E-10,50000000.0000000000,10000,26,1531,1000002,30002654,20000388,10000032,Schoorasana VI - Moon 1 - CBD Corporation Storage,-946854666240.0000000000,-170430013440.0000000000,694899548160.0000000000,0.5000000000,0.0500000000,4
60000031,0.4480995304,0E-10,50000000.0000000000,10000,26,1531,1000002,30002654,20000388,10000032,Schoorasana VI - Moon 6 - CBD Corporation Storage,-947635937280.0000000000,-170569605120.0000000000,694779863040.0000000000,0.5000000000,0.0500000000,4
60000034,0.5517798187,0E-10,50000000.0000000000,10000,26,1531,1000002,30002648,20000388,10000032,Ardene VI - Moon 12 - CBD Corporation Storage,335164907520.0000000000,-66834554880.0000000000,387371704320.0000000000,0.5000000000,0.0500000000,4
60000037,0.4567548925,0E-10,50000000.0000000000,10000,26,1531,1000002,30002650,20000388,10000032,Ney X - Moon 12 - CBD Corporation Storage,1238247628800.0000000000,10976993280.0000000000,2682347520.0000000000,0.5000000000,0.0500000000,4
60000040,0.7795353407,0E-10,50000000.0000000000,10000,26,1531,1000002,30003393,20000495,10000042,Eiluvodi VI - Moon 14 - CBD Corporation Storage,-1108065853440.0000000000,37901721600.0000000000,399274598400.0000000000,0.5000000000,0.0500000000,4
60000043,0.7795353407,0E-10,50000000.0000000000,10000,26,1531,1000002,30003393,20000495,10000042,Eiluvodi VIII - Moon 2 - CBD Corporation Storage,3163545231360.0000000000,-108197928960.0000000000,-3690952826880.0000000000,0.5000000000,0.0500000000,4
60000046,0.6045779379,0E-10,50000000.0000000000,10000,26,1531,1000002,30003399,20000495,10000042,Vorsk IV - Moon 1 - CBD Corporation Storage,-105891962880.0000000000,18134016000.0000000000,-64060416000.0000000000,0.5000000000,0.0500000000,4
60000049,0.9118980891,0E-10,50000000.0000000000,10000,26,1531,1000002,30003397,20000495,10000042,Bongveber IX - Moon 10 - CBD Corporation Storage,-261978562560.0000000000,-44508979200.0000000000,581469020160.0000000000,0.5000000000,0.0500000000,4
60000052,0.9050998520,0E-10,50000000.0000000000,10000,26,1531,1000002,30003395,20000495,10000042,Roleinn X - Moon 13 - CBD Corporation Storage,991590604800.0000000000,-51580477440.0000000000,2064394444800.0000000000,0.5000000000,0.0500000000,4
60000055,0.8265758733,0E-10,50000000.0000000000,10000,26,1531,1000002,30003394,20000495,10000042,Freatlidur IX - Moon 15 - CBD Corporation Storage,-2267215994880.0000000000,108494069760.0000000000,2340726251520.0000000000,0.5000000000,0.0500000000,4
60000058,0.5728197321,0E-10,50000000.0000000000,10000,26,1531,1000002,30003082,20000450,10000038,Hatori X - Moon 12 - CBD Corporation Storage,-1699735511040.0000000000,146663301120.0000000000,825273753600.0000000000,0.5000000000,0.0500000000,4
60000061,0.4744237886,0E-10,50000000.0000000000,10000,26,1531,1000002,30003084,20000450,10000038,Malpara II - CBD Corporation Storage,-68915404800.0000000000,-1358684160.0000000000,73023774720.0000000000,0.5000000000,0.0500000000,4
60000064,0.5728197321,0E-10,50000000.0000000000,10000,26,1531,1000002,30003082,20000450,10000038,Hatori X - Moon 10 - CBD Corporation Storage,-1700332707840.0000000000,146714910720.0000000000,826992107520.0000000000,0.5000000000,0.0500000000,4
60000067,0.7241339263,0E-10,50000000.0000000000,10000,26,1531,1000002,30003081,20000450,10000038,Ronne I - Moon 1 - CBD Corporation Storage,4826357760.0000000000,-225484800.0000000000,-108262563840.0000000000,0.5000000000,0.0500000000,4
60000070,0.5728197321,0E-10,50000000.0000000000,10000,26,1531,1000002,30003082,20000450,10000038,Hatori IX - Moon 8 - CBD Corporation Storage,121209692160.0000000000,-10458193920.0000000000,-838286499840.0000000000,0.5000000000,0.0500000000,4
60000073,0.8095908221,0E-10,50000000.0000000000,10000,26,1531,1000002,30003083,20000450,10000038,Junsen V - Moon 20 - CBD Corporation Storage,2160797982720.0000000000,414495989760.0000000000,-1123305185280.0000000000,0.5000000000,0.0500000000,4
60000076,0.3021467524,0E-10,50000000.0000000000,10000,26,1531,1000002,30002414,20000355,10000028,Klingt VII - Moon 2 - CBD Corporation Storage,-337193902080.0000000000,63504506880.0000000000,-289445683200.0000000000,0.5000000000,0.0500000000,4
60000079,0.3020362117,0E-10,50000000.0000000000,10000,26,1531,1000002,30002415,20000355,10000028,Weld IV - Moon 14 - CBD Corporation Storage,-972277309440.0000000000,13201367040.0000000000,1525280808960.0000000000,0.5000000000,0.0500000000,4
