system_id,status,derived_security_status,system_name,system_security,system_sovereignty
30003088,edencom_minor_victory,,Oyonata,0.3,amarr
30003894,edencom_minor_victory,,Sabusi,0.5,amarr
30004302,edencom_minor_victory,,Omigiav,0.2,amarr
30005074,edencom_minor_victory,,Daran,0.2,amarr
30003570,edencom_minor_victory,,Elore,0.2,gallente
30003463,edencom_minor_victory,,Erlendur,0.5,minmatar
30003788,edencom_minor_victory,,Intaki,0.1,gallente
30002724,edencom_minor_victory,,Assiettes,0.6,gallente
30002999,edencom_minor_victory,,Shastal,0.5,amarr
30000102,edencom_minor_victory,,Dysa,0.2,amarr
30003919,edencom_minor_victory,,Ashkoo,0.3,amarr
30004978,edencom_minor_victory,,Pemene,0.5,gallente
30004287,edencom_minor_victory,,Esubara,0.2,amarr
30002051,edencom_minor_victory,,Anher,0.5,minmatar
30003823,edencom_minor_victory,,Kenninck,0.1,gallente
30005267,edencom_minor_victory,,Bherdasopt,0.5,amarr
30003587,edencom_minor_victory,,Harner,0.1,gallente
30003904,edencom_minor_victory,,Col,0.5,amarr
30005209,edencom_minor_victory,,Sibe,0.5,amarr
30005219,edencom_minor_victory,,Sigga,0.5,amarr
30002755,edencom_minor_victory,,Usi,0.5,caldari
30003824,edencom_minor_victory,,Archavoinet,0.6,gallente
30002239,edencom_minor_victory,,Rammi,0.3,amarr
30003794,edencom_minor_victory,,Stacmon,0.6,gallente
30003927,edencom_minor_victory,,Zahefeus,0.2,amarr
30000109,edencom_minor_victory,,Berta,0.5,amarr
30000060,edencom_minor_victory,,Janus,0.5,amarr
30000160,edencom_minor_victory,,Reisen,0.5,caldari
30004999,edencom_minor_victory,,Ladistier,0.3,gallente
30004295,edencom_minor_victory,,Keba,0.5,amarr
30004231,edencom_minor_victory,,Shakasi,0.3,amarr
30004284,edencom_minor_victory,,Defsunun,0.1,amarr
30003932,edencom_minor_victory,,Timudan,0.1,amarr
30004254,edencom_minor_victory,,Fihrneh,0.1,amarr
30002513,edencom_minor_victory,,Dammalin,0.5,minmatar
30002048,edencom_minor_victory,,Bei,0.6,minmatar
30003090,edencom_minor_victory,,Saidusairos,0.1,amarr
30003478,edencom_minor_victory,,Basan,0.3,amarr
30004289,edencom_minor_victory,,Vaini,0.2,amarr
30003061,edencom_minor_victory,,Mormelot,0.2,gallente
30003078,edencom_minor_victory,,Erkinen,0.6,amarr
30003900,edencom_minor_victory,,Ham,0.2,amarr
30002644,edencom_minor_victory,,Ambeke,0.5,gallente
30003480,edencom_minor_victory,,Amod,0.3,amarr
30001696,edencom_minor_victory,,Iro,0.6,amarr
30002772,edencom_minor_victory,,Rairomon,0.6,caldari
30005284,edencom_minor_victory,,Promised Land,0.3,amarr
30005222,edencom_minor_victory,,Serren,0.5,amarr
30005086,edencom_minor_victory,,Arza,0.3,amarr
30003918,edencom_minor_victory,,Hakana,0.3,amarr
30003908,edencom_minor_victory,,Bashyam,0.5,amarr
30000012,edencom_minor_victory,,Asabona,0.3,amarr
30003481,edencom_minor_victory,,Unefsih,0.4,amarr
30003460,edencom_minor_victory,,Offikatlin,0.4,minmatar
30005213,edencom_minor_victory,,Hesarid,0.4,amarr
30005308,edencom_minor_victory,,Jufvitte,0.5,gallente
30003058,edencom_minor_victory,,Olide,0.7,gallente
30005334,edencom_minor_victory,,Tierijev,0.8,gallente
30002506,edencom_minor_victory,,Osoggur,0.5,minmatar
30003931,edencom_minor_victory,,Sassecho,0.1,amarr
30005255,edencom_minor_victory,,Saphthar,0.3,amarr
30004263,edencom_minor_victory,,Feshur,0.1,amarr
30000062,edencom_minor_victory,,Iosantin,0.5,amarr
30002241,edencom_minor_victory,,Rimbah,0.3,amarr
30003558,edencom_minor_victory,,Madimal,0.7,amarr
30001376,edencom_minor_victory,,Nourvukaiken,0.8,caldari
30004257,edencom_minor_victory,,Hakatiz,0.1,amarr
30004108,edencom_minor_victory,,Chaneya,0.3,amarr
30000048,edencom_minor_victory,,Ihal,0.5,amarr
